"delta","gamma","phi","sigma_P","sigma_M","rho","Beta_0","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0,0.0588235294117647,0.623698544438399,0.23452046875,1.62061209518355,0.804304001555771,0.0652533684603737,3.68e-05,5281842,421876.894819907,0,0,0,0.01721420632104,0,-205.896630533573,146969281
0,0.0588235294117647,2.00491094671851,0.73442546875,1.25243576814684,0.0461203276143436,0.0658908535337063,3.67999999999999e-05,5281842,121876.008127214,0,0,0,0.01721420632104,0,-193.584197160131,1041793315
0,0.0588235294117647,3.41913302158831,0.73442546875,1.23734162283185,0.0442939375060516,0.0663133085871695,3.68e-05,5281842,121876.93250078,0,0,0,0.01721420632104,0,-193.574809735068,874505427
0,0.0588235294117647,1.9064723359564,0.73442546875,1.23526444419397,0.0409985559092809,0.0663116228211859,3.68e-05,5281842,121874.715430573,0,0,0,0.01721420632104,0,-193.57267847835,686268517
0,0.0588235294117647,2.22209233019211,0.73442546875,1.28770736946966,0.0692732439783434,0.0627394807996802,3.68e-05,5281842,121875.438251415,0,0,0,0.01721420632104,0,-193.847818325156,645986391
0,0.0588235294117647,2.1178335134023,0.73442546875,1.24228952062761,0.0430865931603662,0.0660236047298337,3.68e-05,5281842,121876.457900226,0,0,0,0.01721420632104,0,-193.546066555698,1036894168
0,0.0588235294117647,0.959299663589794,0.98437796875,1.44048271669428,0.156673604447054,0.079117938676697,3.68e-05,5281842,571877.033700716,0,0,0,0.01721420632104,0,-202.382716896019,238421304
0,0.0588235294117647,1.04567185446918,0.98437796875,1.49120646549605,0.146172970333255,0.0722391175572875,3.68e-05,5281842,571876.077826336,0,0,0,0.01721420632104,0,-202.061832238902,457027832
0,0.0588235294117647,0.662640983083527,0.98437796875,1.42806199120447,0.182969346631746,0.0745665392524995,3.68e-05,5281842,571876.872602271,0,0,0,0.01721420632104,0,-201.931948918957,345231569
0,0.0588235294117647,0.478803476944569,0.98437796875,1.34078859795765,0.197166132821364,0.0753228383430272,3.68e-05,5281842,571875.756037659,0,0,0,0.01721420632104,0,-202.113370853447,612449244
0,0.0588235294117647,1.28052208791374,0.98437796875,1.44757736138631,0.226855461129584,0.0734595955537069,3.68e-05,5281842,571876.882455224,0,0,0,0.01721420632104,0,-202.084055279066,258369291
0,0.0588235294117647,3.07802160517953,0.48447296875,1.45157552415108,0.30565079276791,0.0632421958175793,3.68000000000001e-05,5281842,271874.925588287,0,0,0,0.01721420632104,0,-199.164071215446,749147528
0,0.0588235294117647,2.35383800823617,0.48447296875,1.46376050558442,0.305544334859316,0.0630102871026977,3.68e-05,5281842,271875.008902347,0,0,0,0.01721420632104,0,-199.158015146274,304040291
0,0.0588235294117647,3.06199412736981,0.48447296875,1.47687704645118,0.312315098381876,0.0630079797669903,3.68e-05,5281842,271876.501771905,0,0,0,0.01721420632104,0,-199.13751969944,520477903
0,0.0588235294117647,3.30740559901379,0.48447296875,1.46195501554263,0.314153963922942,0.0630577384452645,3.68000000000001e-05,5281842,271876.25270289,0,0,0,0.01721420632104,0,-199.15436389441,335610368
0,0.0588235294117647,2.8970017698129,0.48447296875,1.46918521070791,0.345298550485957,0.0621752227810751,3.68e-05,5281842,271877.401447014,0,0,0,0.01721420632104,0,-199.146374409233,543312035
0,0.0588235294117647,0.0159762650257092,0.79691359375,1.45753924075404,0.257936659502654,0.0663383224806281,3.68e-05,5281842,384373.800200294,0,0,0,0.01721420632104,0,-200.144536888153,808506446
0,0.0588235294117647,0.648124828245909,0.79691359375,1.6646505207623,0.499896066646999,0.0697080296506416,3.68e-05,5281842,384375.569760137,0,0,0,0.01721420632104,0,-201.648434785679,434123406
0,0.0588235294117647,0.299159585966321,0.79691359375,5.56664550183373,0.436844469827005,0.211589233483007,3.67999999999999e-05,5281842,384372.916376128,0,0,0,0.01721420632104,0,-311.609511835968,243987065
0,0.0588235294117647,-0.101286110502786,0.79691359375,1.45546856715335,0.395385385785771,0.0645155099859947,3.68e-05,5281842,384375.025393415,0,0,0,0.01721420632104,0,-200.570183821937,697208780
0,0.0588235294117647,0.172200564747888,0.79691359375,6.15600663595355,0.384346846373544,0.14494389896807,3.68e-05,5281842,384377.117613252,0,0,0,0.01721420632104,0,-258.375405042517,721076377
0,0.0588235294117647,2.00355486282723,0.29700859375,1.33167643904322,0.0572414076792484,0.0652587454973863,3.68e-05,5281842,84375.9221841408,0,0,0,0.01721420632104,0,-193.146694429127,782080053
0,0.0588235294117647,2.03726304825665,0.29700859375,1.33001118430034,0.0575293900149937,0.0652794519980075,3.68e-05,5281842,84376.1420230329,0,0,0,0.01721420632104,0,-193.153102287611,630009108
0,0.0588235294117647,1.6113019326498,0.29700859375,1.3273261329946,0.0581130650407062,0.0651591771607137,3.68e-05,5281842,84375.9356093579,0,0,0,0.01721420632104,0,-193.155651601076,856662022
0,0.0588235294117647,1.75518632523917,0.29700859375,1.32354907734921,0.0578299208724754,0.0650441135749592,3.68e-05,5281842,84376.4975081815,0,0,0,0.01721420632104,0,-193.171423806517,729393228
0,0.0588235294117647,1.5335898166725,0.29700859375,1.32740882951733,0.0577768440925241,0.0651103960700457,3.68e-05,5281842,84376.0341585929,0,0,0,0.01721420632104,0,-193.158815275709,383431623
0,0.0588235294117647,0.707749210326966,0.04705609375,2.01060550532364,0.697771316207021,0.066539286753908,3.68e-05,5281842,534376.947339405,0,0,0,0.01721420632104,0,-220.034612301154,1006259902
0,0.0588235294117647,0.874984325744419,0.04705609375,1.9738609549379,0.773740665211516,0.0670117586315263,3.68000000000001e-05,5281842,534374.601811224,0,0,0,0.01721420632104,0,-218.712743815192,919662882
0,0.0588235294117647,0.0483111626849703,0.04705609375,1.99250792438866,0.787391510059721,0.0666186208873993,3.68e-05,5281842,534375.791778767,0,0,0,0.01721420632104,0,-218.225019001455,741565572
0,0.0588235294117647,1.29828658924589,0.04705609375,2.10288756385777,0.649121980088418,0.0674202263466477,3.68e-05,5281842,534375.859009133,0,0,0,0.01721420632104,0,-221.517138009845,709938083
0,0.0588235294117647,0.157531775544494,0.04705609375,2.01091135113308,0.754082295504967,0.0665979468060113,3.68e-05,5281842,534375.094848741,0,0,0,0.01721420632104,0,-218.847055686604,396468604
0,0.0588235294117647,2.45080321931312,0.54696109375,1.42088973393463,0.18403236888303,0.0636942100853799,3.68e-05,5281842,234375.951454197,0,0,0,0.01721420632104,0,-197.75246835621,772993463
0,0.0588235294117647,2.59567671938543,0.54696109375,1.41852190976391,0.185595192981565,0.0633025878578921,3.68e-05,5281842,234374.889452469,0,0,0,0.01721420632104,0,-197.741119600565,181339392
0,0.0588235294117647,2.86761319506683,0.54696109375,1.41189823399013,0.18168335621312,0.063397242361044,3.68e-05,5281842,234376.553120401,0,0,0,0.01721420632104,0,-197.731583267684,609369940
0,0.0588235294117647,2.50948183223862,0.54696109375,1.41523809156345,0.184503818172037,0.063664531561506,3.68e-05,5281842,234376.019158149,0,0,0,0.01721420632104,0,-197.740302728738,942257792
0,0.0588235294117647,2.82326175026296,0.54696109375,1.41840905400533,0.17918304339861,0.0634894729819079,3.68e-05,5281842,234374.995147368,0,0,0,0.01721420632104,0,-197.729114989182,287223213
0,0.0588235294117647,1.84508109445283,0.42198484375,0.020991112807806,0.00283279485190646,0.106649078508883,3.68e-05,5281842,309376.4567394,0,0,0,0.01721420632104,0,-818.344536072669,1019126919
0,0.0588235294117647,0.766281529350077,0.42198484375,0.0081519956820348,0.00549170249198556,0.169757932821992,3.68e-05,5281842,309375.294835526,0,0,0,0.01721420632104,0,-960.900607550237,70943310
0,0.0588235294117647,1.30324974358655,0.42198484375,0.0482018661164892,0.00280074289408953,0.102696243501591,3.68000000000001e-05,5281842,309377.887862364,0,0,0,0.01721420632104,0,-814.897721106163,955151679
0,0.0588235294117647,0.265861007771268,0.42198484375,0.0132412198236053,0.00287523773353818,0.104797520226034,3.68e-05,5281842,309376.834127954,0,0,0,0.01721420632104,0,-816.510820224723,323315645
0,0.0588235294117647,1.29500267109154,0.42198484375,0.0123956784417662,0.00285234634216742,0.105653952169351,3.67999999999999e-05,5281842,309374.788175193,0,0,0,0.01721420632104,0,-816.600601328871,865440916
0,0.0588235294117647,2.79211021036967,0.92188984375,1.65322777935912,0.378316223981675,0.0872856338020266,3.67999999999999e-05,5281842,9376.47807900641,0,0,0,0.01721420632104,0,-203.077729890447,683990771
0,0.0588235294117647,3.88143641692191,0.92188984375,4.64581440232508,0.524751757028322,0.253221153823749,3.68e-05,5281842,9377.76139138876,0,0,0,0.01721420632104,0,-303.326804668542,60980972
0,0.0588235294117647,2.10592163831056,0.92188984375,1.23606617458744,0.186293483056497,0.0532880576012313,3.68e-05,5281842,9374.09545697977,0,0,0,0.01721420632104,0,-194.183401742202,287574738
0,0.0588235294117647,2.25290096929794,0.92188984375,1.71700736147553,0.637589043138987,0.0896992047826167,3.68e-05,5281842,9377.40590434689,0,0,0,0.01721420632104,0,-205.25722377396,944231952
0,0.0588235294117647,2.93816203412392,0.92188984375,1.74826505838227,0.278659357418795,21.5542896718392,3.68e-05,5281842,9376.64031815835,0,0,0,0.01721420632104,0,-202.531834700086,1069178399
0,0.0588235294117647,0.31169708112012,0.67193734375,1.49553646203647,0.331141011362666,0.0709560690648508,3.68e-05,5281842,459376.113720252,0,0,0,0.01721420632104,0,-203.070783049136,871182490
0,0.0588235294117647,1.02488074829234,0.67193734375,1.50523465081405,0.345693023348567,0.0685900802129251,3.68e-05,5281842,459375.245791159,0,0,0,0.01721420632104,0,-202.821151654771,318436545
0,0.0588235294117647,0.905617897084475,0.67193734375,1.51225644508963,0.211950777879841,0.0692965401439693,3.68e-05,5281842,459376.0286724,0,0,0,0.01721420632104,0,-203.101655206488,758635155
0,0.0588235294117647,1.61215023743841,0.67193734375,1.46802823674508,0.224823247720162,0.0699503998100407,3.68e-05,5281842,459374.712495372,0,0,0,0.01721420632104,0,-203.185316685162,813796823
0,0.0588235294117647,1.15974912583216,0.67193734375,3.87843403265393,0.448040464393684,0.181113250124999,3.68e-05,5281842,459376.576744014,0,0,0,0.01721420632104,0,-326.088824133569,318501412
0,0.0588235294117647,1.9479615989156,0.17203234375,1.42003454885384,0.186315199516607,0.0615494847281552,3.68e-05,5281842,159374.969022646,0,0,0,0.01721420632104,0,-195.822942889265,2407631
0,0.0588235294117647,2.57251247014552,0.17203234375,1.41845637884961,0.186107950038072,0.0616658292358203,3.68e-05,5281842,159375.106699308,0,0,0,0.01721420632104,0,-195.836662399455,656050471
0,0.0588235294117647,1.64233891509837,0.17203234375,1.42346493831847,0.187091830403121,0.0615358154770277,3.68e-05,5281842,159376.634144799,0,0,0,0.01721420632104,0,-195.82096012412,782821265
0,0.0588235294117647,2.46829109776807,0.17203234375,1.42409180670396,0.187688343330449,0.0614940039455681,3.68e-05,5281842,159376.53233068,0,0,0,0.01721420632104,0,-195.818693978864,87877176
0,0.0588235294117647,2.80329145959028,0.17203234375,1.42638473260703,0.185586766638133,0.0617603918753694,3.68e-05,5281842,159374.168191373,0,0,0,0.01721420632104,0,-195.838398006109,786540037
0,0.0588235294117647,1.69477735037669,0.26576453125,1.45957123899138,0.253484424531353,0.0628889620504967,3.68e-05,5281842,215623.033492031,0,0,0,0.01721420632104,0,-198.071123726793,651365371
0,0.0588235294117647,1.13157101939333,0.26576453125,1.45635412523015,0.230587079478191,0.0634175564602019,3.67999999999999e-05,5281842,215626.252844485,0,0,0,0.01721420632104,0,-198.187251319897,921597404
0,0.0588235294117647,-0.0833928155613047,0.26576453125,1.57051506181763,0.0748563016291783,0.0686284301097895,3.68e-05,5281842,215624.383073565,0,0,0,0.01721420632104,0,-204.244594362572,166824985
0,0.0588235294117647,0.807717276177575,0.26576453125,1.46283433115837,0.24698409808831,0.0629946541129759,3.68e-05,5281842,215624.880637487,0,0,0,0.01721420632104,0,-198.111607647164,22121279
0,0.0588235294117647,0.690803930171986,0.26576453125,1.45466276674051,0.211375062745444,0.0638923739547421,3.68e-05,5281842,215624.584844082,0,0,0,0.01721420632104,0,-198.378804193716,691180740
0,0.0588235294117647,2.1141976001615,0.76566953125,1.47390241132411,0.262908865722165,0.0711831703613642,3.68e-05,5281842,515623.62364938,0,0,0,0.01721420632104,0,-203.251060966619,986173195
0,0.0588235294117647,2.0284280309586,0.76566953125,4.88485721252912,0.532770775836332,0.126988115410777,3.68e-05,5281842,515623.804769912,0,0,0,0.01721420632104,0,-244.741316207838,442181218
0,0.0588235294117647,2.8027871078093,0.76566953125,6.45540955904331,0.29559216440039,0.202598523079184,3.68e-05,5281842,515627.107150627,0,0,0,0.01721420632104,0,-314.833963700236,1046982263
0,0.0588235294117647,2.87000304480163,0.76566953125,3.72579930164852,0.318697484398863,0.175841289936902,3.68e-05,5281842,515624.455432275,0,0,0,0.01721420632104,0,-290.862858135758,453786677
0,0.0588235294117647,2.58764087966622,0.76566953125,6.19744194127095,0.277862541893705,0.217940937741711,3.67999999999999e-05,5281842,515625.923256671,0,0,0,0.01721420632104,0,-324.408434377047,870237781
0,0.0588235294117647,1.8360383846462,0.51571703125,1.26293733904288,0.0390177374923271,0.0662649817383528,3.68e-05,5281842,65627.0042532488,0,0,0,0.01721420632104,0,-192.170630631783,1066715165
0,0.0588235294117647,1.96824431483097,0.51571703125,1.25873597952981,0.03801171628219,0.0669277754544959,3.68000000000001e-05,5281842,65626.1297442805,0,0,0,0.01721420632104,0,-192.139867523712,374882629
0,0.0588235294117647,2.73429342548522,0.51571703125,1.26126242128402,0.0404522823705079,0.0665187749717827,3.68e-05,5281842,65623.6995088109,0,0,0,0.01721420632104,0,-192.18364559703,325273802
0,0.0588235294117647,1.10634591577505,0.51571703125,1.24787899800223,0.0363996775547749,0.0668171875423243,3.68e-05,5281842,65625.5988344945,0,0,0,0.01721420632104,0,-192.113116089781,907527293
0,0.0588235294117647,2.03680236880603,0.51571703125,1.33708768360624,0.0925057800902476,0.057491718592975,3.68e-05,5281842,65625.855499096,0,0,0,0.01721420632104,0,-193.892715217544,176076720
0,0.0588235294117647,3.09375204033229,0.01581203125,1.59662814528194,0.788681266751599,0.0638868334663717,3.68e-05,5281842,365626.773105168,0,0,0,0.01721420632104,0,-204.704190504325,901581816
0,0.0588235294117647,2.38160538367736,0.01581203125,1.6051096985687,0.815328761761904,0.0641501433402139,3.68e-05,5281842,365625.953938408,0,0,0,0.01721420632104,0,-204.610592649869,327132016
0,0.0588235294117647,4.66187860938804,0.01581203125,1.59123565024334,0.800608268943815,0.0642060166892252,3.68e-05,5281842,365625.700075707,0,0,0,0.01721420632104,0,-204.714368556134,902213888
0,0.0588235294117647,3.18507903191705,0.01581203125,1.6032395849548,0.809972114003921,0.063932439692513,3.68e-05,5281842,365624.147023125,0,0,0,0.01721420632104,0,-204.58083575588,689664127
0,0.0588235294117647,4.16931553191307,0.01581203125,1.58124151192289,0.837615109044011,0.0638088821462954,3.68e-05,5281842,365623.861523013,0,0,0,0.01721420632104,0,-204.448121780343,9818512
0,0.0588235294117647,0.682488760063844,0.89064578125,1.31518433425218,0.0747628736416526,0.0679944676619433,3.68e-05,5281842,290623.759817147,0,0,0,0.01721420632104,0,-197.273317756,13426803
0,0.0588235294117647,2.45705051398238,0.89064578125,1.28078465257234,0.0702621491818755,0.0681358810422352,3.68e-05,5281842,290625.47036859,0,0,0,0.01721420632104,0,-197.348418205271,573778291
0,0.0588235294117647,0.655179876593027,0.89064578125,1.31073955353956,0.0767336426661998,0.0682494702160456,3.68e-05,5281842,290624.89259911,0,0,0,0.01721420632104,0,-197.346781279992,244070330
0,0.0588235294117647,0.702644104137023,0.89064578125,1.2932746341641,0.0805220539578981,0.0672027969946845,3.68000000000001e-05,5281842,290625.855226775,0,0,0,0.01721420632104,0,-197.321516772983,494995711
0,0.0588235294117647,1.19319219343293,0.89064578125,1.30390875822018,0.0845170201826322,0.0673742050207702,3.68e-05,5281842,290624.543262203,0,0,0,0.01721420632104,0,-197.309382304454,415455610
0,0.0588235294117647,2.41626221023704,0.39074078125,1.79270497275495,0.606301518832884,0.0729466924535371,3.68e-05,5281842,590626.032766304,0,0,0,0.01721420632104,0,-212.867275791129,768591157
0,0.0588235294117647,2.73469856471227,0.39074078125,1.72596312841462,0.523818739883015,0.0740428392268509,3.68e-05,5281842,590627.805274191,0,0,0,0.01721420632104,0,-214.626740273122,754152275
0,0.0588235294117647,1.21274587185176,0.39074078125,1.65916871454249,0.527737625536218,0.0743492582686525,3.68e-05,5281842,590624.161670031,0,0,0,0.01721420632104,0,-213.434116284842,63450179
0,0.0588235294117647,2.82686113509958,0.39074078125,1.90467872284425,0.539121968320135,0.0747344326981035,3.68e-05,5281842,590623.957391465,0,0,0,0.01721420632104,0,-214.748693605998,297601503
0,0.0588235294117647,2.86121744324176,0.39074078125,2.16549208848274,0.424967697844871,0.0753420143225438,3.67999999999999e-05,5281842,590624.325595017,0,0,0,0.01721420632104,0,-216.343385825498,692030878
0,0.0588235294117647,0.68850700617134,0.14078828125,1.40952968644423,0.148968369340111,0.0617477067424064,3.68e-05,5281842,140625.902180474,0,0,0,0.01721420632104,0,-195.068525425148,484772062
0,0.0588235294117647,0.28139820087508,0.14078828125,1.40686155237816,0.149583384979288,0.0618258494070984,3.68e-05,5281842,140627.18027407,0,0,0,0.01721420632104,0,-195.078865992774,886614324
0,0.0588235294117647,0.945491841545777,0.14078828125,1.40540543325947,0.149262167153948,0.0618640374669218,3.68e-05,5281842,140625.710183296,0,0,0,0.01721420632104,0,-195.088645019299,668705707
0,0.0588235294117647,0.828335278366272,0.14078828125,1.40477424882372,0.150063004961015,0.0618338094437511,3.67999999999999e-05,5281842,140625.36765212,0,0,0,0.01721420632104,0,-195.083679027854,791268961
0,0.0588235294117647,1.41017817876246,0.14078828125,1.40751768641775,0.149474728880259,0.0616936334003513,3.68000000000001e-05,5281842,140625.457167344,0,0,0,0.01721420632104,0,-195.066086418425,487128877
0,0.0588235294117647,2.87308275570882,0.64069328125,1.53030685960867,0.419777654349927,0.067735977973534,3.68e-05,5281842,440625.264640183,0,0,0,0.01721420632104,0,-202.633228274678,129527140
0,0.0588235294117647,2.60082704223451,0.64069328125,1.61952184760638,0.324749624482737,0.0685136118170292,3.68e-05,5281842,440626.138031747,0,0,0,0.01721420632104,0,-202.876381577389,198419783
0,0.0588235294117647,1.98149124098777,0.64069328125,5.96365622956579,0.518604687431199,0.250102338091401,3.68e-05,5281842,440625.591235789,0,0,0,0.01721420632104,0,-395.789377119022,605120371
0,0.0588235294117647,1.48988509340666,0.64069328125,1.51778854484216,0.555085959423933,0.0658213074796881,3.68e-05,5281842,440623.907637833,0,0,0,0.01721420632104,0,-202.612301320885,790614488
0,0.0588235294117647,1.69487973804455,0.64069328125,1.50987465164963,0.511398582944022,0.0658169887545431,3.68e-05,5281842,440625.371285727,0,0,0,0.01721420632104,0,-202.616340149129,842093898
